id,tool,status,reason,cmd,expected_exit,actual_exit,expected_stdout,actual_stdout,stderr
1,icgrep,PASS,normal mode,icgrep -colors=never foo data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\x01m\x01: No such file or directory\n"
2,icgrep,PASS,line-number mode,icgrep -colors=never -n foo data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d0m\x01: No such file or directory\n"
3,icgrep,PASS,normal mode,icgrep -colors=never -i foo data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdo\x01: No such file or directory\n"
4,icgrep,PASS,line-number mode,icgrep -colors=never -i -n foo data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x06o\x01: No such file or directory\n"
5,icgrep,PASS,normal mode,icgrep -colors=never -v foo data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdk\x01: No such file or directory\n"
6,icgrep,PASS,line-number mode,icgrep -colors=never -v -n foo data/empty.txt,0,0,1:\n,1:\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdl\x01: No such file or directory\n"
7,icgrep,PASS,normal mode,icgrep -colors=never -v -i foo data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
8,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n foo data/empty.txt,0,0,1:\n,1:\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdn\x01: No such file or directory\n"
9,icgrep,PASS,count mode,icgrep -colors=never -c foo data/empty.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\u074bm\x01: No such file or directory\n"
10,icgrep,PASS,count mode,icgrep -colors=never -c -i foo data/empty.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdo\x01: No such file or directory\n"
11,icgrep,PASS,count mode,icgrep -colors=never -c -v foo data/empty.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdjk\x01: No such file or directory\n"
12,icgrep,PASS,count mode,icgrep -colors=never -c -v -i foo data/empty.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1dwm\x01: No such file or directory\n"
13,icgrep,PASS,normal mode,icgrep -colors=never foo data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffdSk\x01: No such file or directory\n"
14,icgrep,PASS,line-number mode,icgrep -colors=never -n foo data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\u0761o\x01: No such file or directory\n"
15,icgrep,PASS,normal mode,icgrep -colors=never -i foo data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\ufffdn\x01: No such file or directory\n"
16,icgrep,PASS,line-number mode,icgrep -colors=never -i -n foo data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdk\x01: No such file or directory\n"
17,icgrep,PASS,normal mode,icgrep -colors=never -v foo data/no_match.txt,0,0,zzz\nYYY\n123\n,zzz\nYYY\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1doo\x01: No such file or directory\n"
